Word,Pronunciation,Part of Speech,Meaning,Usage in Sentence,Synonym,Antonym,Etymology
impartial,im-PAR-shul,adj.,not biased; fair,"Knowing she could not be impartial about her own child, Jo refused to judge the match.","unbiased, fair","biased, partial",Latin im- + partialis
impassable,im-PAS-uh-bul,adj.,not able to be traveled or crossed,"A giant redwood had fallen across the highway, blocking all lanes: the road was impassable.","blocked, impenetrable","passable, open",im- + passable
impasse,IM-pas,n.,predicament from which there is no escape; deadlock,"In this impasse, all turned to prayer as their last hope.","deadlock, stalemate","resolution, breakthrough",French impasse (dead end)
impassive,im-PAS-iv,adj.,without feeling; imperturbable; stoical,"Refusing to let the enemy see how shaken he was, the prisoner kept his face impassive.","stoic, unemotional","emotional, expressive",Latin im- + passivus
impeach,im-PEECH,v.,charge with crime in office; indict,The angry congressman wanted to impeach the President for his misdeeds.,"indict, charge","exonerate, absolve",Latin impedicare (to entangle)
impeccable,im-PEK-uh-bul,adj.,faultless,"The uncrowned queen of fashion, Diana, was acclaimed for her impeccable taste.","flawless, perfect","flawed, faulty",Latin impeccabilis (not able to sin)
impecunious,im-puh-KYOO-nee-us,adj.,without money,"Though Scrooge claimed he was too impecunious to give alms, he easily could have afforded to be charitable.","poor, penniless","wealthy, affluent",Latin im- + pecunia (money)
impede,im-PEED,v.,hinder; block,The special prosecutor determined that the Attorney General had not intentionally set out to impede the investigation.,"hinder, obstruct","facilitate, assist",Latin impedire (to entangle the feet)
impediment,im-PED-ih-ment,n.,hindrance; stumbling-block,She had a speech impediment that prevented her from speaking clearly.,"obstacle, hindrance","aid, assistance",Latin impedimentum
impel,im-PEL,v.,drive or force onward,"A strong feeling of urgency impelled her; if she failed to finish the project, she knew she would never do it.","propel, drive","deter, restrain",Latin impellere (to push)
impending,im-PEN-ding,adj.,nearing; approaching,The entire country was saddened by the news of his impending death.,"imminent, looming","distant, remote",Latin impendere (to hang over)
impenetrable,im-PEN-ih-truh-bul,adj.,not able to be pierced or entered; beyond understanding,"To Watson, the mystery, like the room, was impenetrable.","impervious, unfathomable","penetrable, clear",Latin im- + penetrabilis
impenitent,im-PEN-ih-tent,adj.,not repentant,We could see by his brazen attitude that he was impenitent.,"unrepentant, remorseless","penitent, remorseful",Latin im- + paenitens
imperative,im-PER-uh-tiv,adj.,absolutely necessary; critically important,It is imperative that you be extremely agreeable to Great-Aunt Maud when she comes to tea.,"essential, urgent","optional, unnecessary",Latin imperare (to command)
imperceptible,im-pur-SEP-tuh-bul,adj.,unnoticeable; undetectable,"Fortunately, the stain on the blouse was imperceptible after the garment had gone through the wash.","undetectable, unnoticeable","obvious, noticeable",Latin im- + perceptibilis
imperial,im-PEER-ee-ul,adj.,like an emperor; related to an empire,"When hotel owner Leona Helmsley appeared in ads as Queen Leona, her critics mocked her imperial fancies.","regal, majestic","humble, lowly","Latin imperium (command, empire)"
imperious,im-PEER-ee-us,adj.,domineering; haughty,"Jane rather liked a man to be masterful, but Mr. Rochester seemed so bent on getting his own way that he was actually imperious.","domineering, overbearing","submissive, humble",Latin imperiosus
impermeable,im-PUR-mee-uh-bul,adj.,impervious; not permitting passage through its substance,This new material is impermeable to liquids.,"impenetrable, sealed","permeable, porous",Latin im- + permeare (to pass through)
impertinent,im-PUR-tih-nent,adj.,insolent; rude,His neighbors' impertinent curiosity about his lack of dates angered Ted.,"rude, insolent","polite, respectful",Latin im- + pertinens
imperturbable,im-pur-TUR-buh-bul,adj.,calm; placid,Wellington remained imperturbable and in full command of the situation in spite of the hysteria around him.,"calm, unflappable","agitated, excitable",Latin im- + perturbare (to disturb)
impervious,im-PUR-vee-us,adj.,impenetrable; incapable of being damaged or distressed,"The movie star had learned to ignore negative reviews, and was now impervious to criticism.","unaffected, impenetrable","vulnerable, susceptible",Latin im- + pervius (passable)
impetuous,im-PECH-oo-us,adj.,violent; hasty; rash,"""Leap before you look"" was the motto suggested by one particularly impetuous young man.","rash, hasty","cautious, deliberate",Latin impetuosus
impetus,IM-pih-tus,n.,moving force; incentive; stimulus,A new federal highway program would create jobs and give added impetus to economic recovery.,"stimulus, incentive","deterrent, hindrance","Latin impetus (attack, impulse)"
impiety,im-PY-ih-tee,n.,irreverence; lack of respect for God,Members of the youth group draped the church in toilet paper and were reprimanded for their impiety.,"irreverence, sacrilege","piety, reverence",Latin im- + pietas
impinge,im-PINJ,v.,infringe; touch; collide with,How could they be married without impinging on one another's freedom?,"encroach, intrude","respect, honor",Latin impingere (to push against)
impious,IM-pee-us,adj.,irreverent,The congregation was offended by her impious remarks.,"irreverent, sacrilegious","pious, devout",Latin im- + pius
implacable,im-PLAK-uh-bul,adj.,incapable of being pacified,Madame Defarge was the implacable enemy of the Evremonde family.,"relentless, unforgiving","forgiving, lenient",Latin im- + placare (to appease)
implausible,im-PLAW-zuh-bul,adj.,unlikely; unbelievable,"Though her alibi seemed implausible, it in fact turned out to be true.","unbelievable, doubtful","plausible, credible",Latin im- + plausibilis
implement,IM-pluh-ment,v.,put into effect; supply with tools,The mayor was unwilling to implement the plan until she was sure she had the governor's backing.,"execute, enact","abandon, neglect",Latin implementum (a filling up)
implicate,IM-pluh-kayt,v.,incriminate; show to be involved,"If you agree to take the witness stand and implicate your partners in crime, the prosecution will recommend leniency.","incriminate, involve","exonerate, clear",Latin implicare (to entangle)
implication,im-pluh-KAY-shun,n.,something hinted at or suggested,The implication was that her suspected Jim had taken the purse.,"insinuation, suggestion","statement, explicit declaration",Latin implicare
implicit,im-PLIS-it,adj.,understood but not stated,Jack never told Jill he adored her; he believed his love was implicit in his deeds.,"implied, unstated","explicit, stated",Latin implicitus
implode,im-PLOHD,v.,burst inward,"If you break a vacuum tube, the glass tube implodes.",collapse inward,explode,im- + (ex)plode
implore,im-PLOR,v.,beg,He implored her to give him a second chance.,"beseech, entreat","demand, refuse to ask",Latin implorare (to invoke with tears)
imply,im-PLY,v.,suggest a meaning not expressed; signify,Was Aunt Millie implying that Bobby was being a glutton in helping himself to such a huge piece?,"suggest, hint","state, declare openly",Latin implicare (to involve)
impolitic,im-POL-ih-tik,adj.,not wise,I think it is impolitic to raise this issue at the present time because the public is too angry.,"unwise, imprudent","prudent, wise",im- + politic
imponderable,im-PON-der-uh-bul,adj.,weightless; not easily evaluated,I cannot evaluate the data gathered in this study; the imponderable items are not so easily analyzed.,"incalculable, intangible","measurable, calculable",Latin im- + ponderare (to weigh)
import,IM-port,n.,significance,I feel that you have not grasped the full import of the message sent to us by the enemy.,"significance, importance","insignificance, triviality",Latin importare (to bring in)
importunate,im-POR-chuh-nit,adj.,urging; demanding,He tried to hide from his importunate creditors until his allowance arrived.,"persistent, demanding","patient, undemanding",Latin importunus
importune,im-por-TOON,v.,beg persistently,Phone solicitors importuned her for contributions so frequently that she decided to give nothing to either party.,"pester, badger","leave alone, refrain",Latin importunus
imposture,im-POS-chur,n.,assuming a false identity; masquerade,She was imprisoned for her imposture of a doctor.,"masquerade, fraud","authenticity, honesty",Latin impostura
impotent,IM-puh-tent,adj.,weak; ineffective,"Although he wished to break the nicotine habit, he found himself impotent in resisting the craving.","powerless, ineffective","powerful, potent",Latin im- + potens (powerful)
imprecation,im-pruh-KAY-shun,n.,curse,"Roused from bed at what he considered an ungodly hour, Roy muttered imprecations under his breath.","curse, malediction","blessing, benediction",Latin imprecari (to invoke evil upon)
impregnable,im-PREG-nuh-bul,adj.,invulnerable,"Until the development of the airplane as a military weapon, the fort was considered impregnable.","invincible, unconquerable","vulnerable, defenseless",Latin im- + prehendere (to seize)
impromptu,im-PROMP-too,adj.,without previous preparation; off the cuff,The judges were amazed that she could make such a thorough presentation in an impromptu speech.,"improvised, spontaneous","rehearsed, planned",Latin in promptu (in readiness)
impropriety,im-pruh-PRY-ih-tee,n.,improperness; unsuitability,"Because of the impropriety of the punk rocker's slashed T-shirt, management refused to admit him to the dining room.","indecency, unsuitability","propriety, decorum",Latin im- + proprietas
improvident,im-PROV-ih-dent,adj.,thriftless,He was constantly warned to mend his improvident ways and begin to save for a rainy day.,"wasteful, careless","thrifty, prudent",Latin im- + providens (foreseeing)
improvise,IM-pruh-vyz,v.,compose on the spur of the moment,She would sit at the piano and improvise for hours on themes from Bach and Handel.,"extemporize, ad-lib","plan, rehearse",Latin improvisus (unforeseen)
imprudent,im-PROO-dent,adj.,lacking caution; injudicious,It is imprudent to exercise vigorously and become overheated when you are unwell.,"reckless, unwise","prudent, cautious",Latin im- + prudens
impudence,IM-pyuh-dens,n.,impertinence; insolence,"Kissed on the cheek by a perfect stranger, Lady Catherine exclaimed, ""Of all the nerve! I should have you horsewhipped for your impudence.""","insolence, audacity","politeness, deference",Latin impudentia
impugn,im-PYOON,v.,dispute or contradict (often in an insulting way); challenge,Our treasurer was furious when the finance committee's report impugned the accuracy of his financial records.,"challenge, dispute","confirm, support",Latin impugnare (to attack)
impuissance,im-PWIS-ans,n.,powerlessness; feebleness,The lame duck President was frustrated by his shift from enormous power to relative impuissance.,"powerlessness, weakness","power, potency",French impuissance
impunity,im-PYOO-nih-tee,n.,freedom from punishment or harm,A 98-pound weakling can't attack a beachfront bully with impunity: the poor guy is sure to get mashed.,exemption from punishment,"liability, accountability",Latin im- + poena (punishment)
impute,im-PYOOT,v.,attribute; ascribe,"If I wished to impute blame to the officers in charge, I would state my feelings definitely and immediately.","attribute, ascribe","disclaim, deny",Latin imputare (to charge to one's account)
inadvertently,in-ad-VUR-tent-lee,adv.,unintentionally; by oversight; carelessly,Judy's great fear was that she might inadvertently omit a question on the exam.,"unintentionally, accidentally","deliberately, intentionally",Latin in- + advertere
inalienable,in-AYL-yuh-nuh-bul,adj.,not to be taken away; nontransferable,The Declaration of Independence mentions the inalienable rights that all of us possess.,"inviolable, untransferable","transferable, forfeitable",Latin in- + alienare (to transfer)
inane,ih-NAYN,adj.,silly; senseless,Why are you bothering to make such inane remarks?,"silly, foolish","sensible, wise",Latin inanis (empty)
inanimate,in-AN-ih-mit,adj.,lifeless,She was asked to identify the still and inanimate body.,"lifeless, inert","animate, living",Latin in- + animatus
inarticulate,in-ar-TIK-yuh-lit,adj.,speechless; producing indistinct speech,She became inarticulate with rage and uttered sounds without meaning.,"incoherent, tongue-tied","articulate, fluent",Latin in- + articulatus
inaugurate,in-AW-gyuh-rayt,v.,begin formally; install in office,The candidate promised that he would inaugurate a new health care plan as soon as he was inaugurated as president.,"initiate, install","terminate, end","Latin inaugurare (to take omens, consecrate)"
incandescent,in-kan-DES-ent,adj.,strikingly bright; shining with intense heat,"If you leave on an incandescent light bulb, it quickly grows too hot to touch.","brilliant, glowing","dull, dim",Latin incandescere (to glow)
incantation,in-kan-TAY-shun,n.,singing or chanting of magic spells; magical formula,"Uttering incantations to make the brew more potent, the witch doctor stirred the liquid.","chant, spell",—,Latin incantare (to chant a spell)
incapacitate,in-kuh-PAS-ih-tayt,v.,disable,"During the winter, many people were incapacitated by respiratory ailments.","disable, debilitate","enable, strengthen",Latin in- + capacitas
incarcerate,in-KAR-suh-rayt,v.,imprison,The civil rights workers were willing to be incarcerated if by their imprisonment they could serve the cause.,"imprison, jail","free, release",Latin in- + carcer (prison)
incarnate,in-KAR-nit,adj.,endowed with flesh; personified,Your attitude is so fiendish that you must be a devil incarnate.,"embodied, personified","disembodied, abstract",Latin in- + carnis (flesh)
incarnation,in-kar-NAY-shun,n.,act of assuming a human body and human nature,The incarnation of Jesus Christ is a basic tenet of Christian theology.,"embodiment, personification","disembodiment, abstraction",Latin in- + carnis (flesh)
incendiary,in-SEN-dee-er-ee,n.,arsonist,The fire spread in such an unusual manner that it had certainly been set by an incendiary.,arsonist; inflammatory,extinguisher; calming,Latin incendere (to set on fire)
incense,in-SENS,v.,enrage; infuriate,Cruelty to defenseless animals incensed Kit: the very idea brought tears of anger to her eyes.,"enrage, infuriate","calm, soothe",Latin incendere (to set on fire)
incentive,in-SEN-tiv,n.,spur; motive,Mike's strong desire to outshine his big sister was all the incentive he needed to do well in school.,"motive, stimulus","deterrent, discouragement",Latin incentivum
inception,in-SEP-shun,n.,start; beginning,She was involved with the project from its inception.,"beginning, commencement","conclusion, end",Latin inceptio
incessant,in-SES-ent,adj.,uninterrupted; unceasing,"In a famous TV commercial, the frogs' incessant croaking goes on and on until it turns into a single word.","constant, unceasing","intermittent, occasional",Latin in- + cessare (to cease)
inchoate,in-KOH-it,adj.,recently begun; rudimentary; elementary,"Before the Creation, the world was an inchoate mass.","rudimentary, embryonic","developed, complete",Latin inchoare (to begin)
incidence,IN-sih-dens,n.,rate of occurrence; particular occurrence,Health professionals expressed great concern over the high incidence of infant mortality.,"occurrence rate, frequency",—,Latin incidere (to fall upon)
incidental,in-sih-DEN-tul,adj.,not essential; minor,The scholarship covered his major expenses and some of his incidental expenses as well.,"minor, secondary","essential, primary",Latin incidens
incipient,in-SIP-ee-ent,adj.,beginning; in an early stage,I will go to sleep early for I want to break an incipient cold.,"budding, nascent","mature, full-blown",Latin incipere (to begin)
incisive,in-SY-siv,adj.,cutting; sharp,Her incisive remarks made us see the fallacy in our plans.,"sharp, penetrating","vague, dull",Latin incidere (to cut into)
incite,in-SYT,v.,arouse to action; goad; motivate,"In a fiery speech, Mario incited his fellow students to go out on strike.","instigate, provoke","discourage, pacify",Latin incitare (to spur on)
inclement,in-KLEM-ent,adj.,stormy; unkind,"In inclement weather, I like to curl up with a good book and listen to the storm.","stormy, harsh","mild, pleasant",Latin in- + clemens (mild)
incline,IN-klyn,n.,slope; slant,The architect recommended that the ramp be rebuilt because its incline was too steep for wheelchairs.,"slope, gradient","level, flat",Latin inclinare (to lean)
inclined,in-KLYND,adj.,tending or leaning toward; bent,"Though I am inclined to be skeptical, the witness's manner inclines me to believe his story.","disposed, prone","disinclined, averse",Latin inclinare (to lean)
inclusive,in-KLOO-siv,adj.,tending to include all,"The comedian turned down the invitation to join the club, saying it was too inclusive.","comprehensive, all-embracing","exclusive, limited",Latin includere (to shut in)
incognito,in-kog-NEE-toh,adv.,with identity concealed; using an assumed name,The monarch enjoyed traveling through the town incognito and mingling with the populace.,"disguised, anonymous","openly, undisguised",Italian incognito (unknown)
incoherent,in-koh-HEER-ent,adj.,unintelligible; muddled; illogical,"The excited fan blushed and stammered, her words becoming almost incoherent.","muddled, disjointed","coherent, logical",Latin in- + cohaerens
incommodious,in-kuh-MOH-dee-us,adj.,not spacious; inconvenient,"In their incommodious quarters, they had to improvise for closet space.","cramped, inconvenient","spacious, roomy",Latin in- + commodus (convenient)
incompatible,in-kum-PAT-ih-bul,adj.,inharmonious,The married couple argued incessantly and finally decided to separate because they were incompatible.,"conflicting, mismatched","compatible, harmonious",Latin in- + compatibilis
incongruity,in-kon-GROO-ih-tee,n.,lack of harmony; absurdity,The incongruity of his wearing sneakers with formal attire amused the observers.,"inconsistency, absurdity","congruity, harmony",Latin in- + congruere
inconsequential,in-kon-sih-KWEN-shul,adj.,insignificant; unimportant,"Brushing off Ali's apologies for breaking the wine glass, Tamara said, ""Don't worry about it; it's inconsequential.""","trivial, unimportant","significant, important",Latin in- + consequentia
inconsistency,in-kun-SIS-ten-see,n.,state of being self-contradictory; lack of uniformity,"How are lawyers different from agricultural inspectors? Where lawyers check inconsistencies in testimony, inspectors check inconsistencies in eggs.","contradiction, discrepancy","consistency, uniformity",Latin in- + consistere
incontinent,in-KON-tih-nent,adj.,lacking self-restraint; licentious,His incontinent behavior off stage shocked many people who refused to attend his plays.,"unrestrained, licentious","restrained, self-controlled",Latin in- + continens
incontrovertible,in-kon-truh-VUR-tih-bul,adj.,indisputable; not open to question,"Unless you find the evidence against my client absolutely incontrovertible, you must declare her not guilty.","indisputable, certain","disputable, questionable",Latin in- + controvertere
incorporate,in-KOR-puh-rayt,v.,introduce something into a larger whole; combine; unite,President Truman ordered the military to incorporate blacks into every branch of the armed services.,"integrate, combine","exclude, separate",Latin incorporare (to embody)
incorporeal,in-kor-POR-ee-ul,adj.,lacking a material body; insubstantial,"Although Casper the friendly ghost is an incorporeal being, he makes quite an impact on the physical world.","immaterial, bodiless","corporeal, material",Latin in- + corporeus
incorrigible,in-KOR-ih-juh-bul,adj.,uncorrectable,"Widow Douglass hoped to reform Huck, but Miss Watson pronounced him incorrigible.","unmanageable, irreformable","reformable, manageable",Latin in- + corrigere (to correct)
incredulity,in-krih-DOO-lih-tee,n.,a tendency to disbelieve,Your incredulity in the face of all the evidence is hard to understand.,"skepticism, disbelief","credulity, belief",Latin in- + credere (to believe)
incredulous,in-KREJ-uh-lus,adj.,withholding belief; skeptical,"When Jack claimed he hadn't eaten the doughnut, Jill took an incredulous look at his smeared face.","skeptical, doubtful","credulous, trusting",Latin in- + credere
increment,IN-krih-ment,n.,increase,The new contract calls for a 10 percent increment in salary each year.,"increase, addition","decrease, reduction",Latin incrementum
incriminate,in-KRIM-ih-nayt,v.,accuse; serve as evidence against,The witness's testimony against the racketeers incriminates some high public officials as well.,"implicate, accuse","exonerate, clear",Latin in- + criminare
incrustation,in-krus-TAY-shun,n.,hard coating or crust,"In dry dock, we scraped off the incrustation of dirt and barnacles that covered the hull.","crust, coating",—,Latin in- + crustare
incubate,IN-kyuh-bayt,v.,hatch; scheme,We shall have to rely on the hens to incubate these eggs.,"hatch, brood",—,Latin incubare (to lie upon)
incubus,IN-kyuh-bus,n.,burden; mental care; nightmare,The incubus of financial worry helped bring on his nervous breakdown.,"burden, nightmare","relief, comfort",Latin incubus (nightmare demon)
inculcate,in-KUL-kayt,v.,teach; instill,"In an effort to inculcate religious devotion, officials ordered the school day begin with a hymn.","instill, implant","eradicate, uproot","Latin inculcare (to tread on, impress)"
incumbent,in-KUM-bent,adj.,obligatory; currently holding an office,It is incumbent upon all incumbent elected officials to keep accurate records of expenses.,obligatory; office-holding,optional; out of office,Latin incumbere (to lean upon)
incur,in-KUR,v.,bring upon oneself,His parents refused to pay any future debts he might incur.,"sustain, bring on oneself","avoid, escape",Latin incurrere (to run into)
incursion,in-KUR-zhun,n.,temporary invasion,The nightly incursions and hit-and-run raids tried the patience of the country.,"raid, invasion","retreat, withdrawal",Latin incursio
indefatigable,in-dih-FAT-ih-guh-bul,adj.,tireless,"Although the effort exhausted Wayne for the entire morning, when it came to partying he was indefatigable.","tireless, untiring","tired, exhausted",Latin in- + defatigare (to tire out)
indelible,in-DEL-ih-bul,adj.,not able to be erased,The indelible ink left a permanent mark on my shirt.,"permanent, ineradicable","erasable, temporary",Latin in- + delere (to destroy)
indemnify,in-DEM-nih-fy,v.,make secure against loss; compensate for loss,The city will indemnify all home owners whose property is spoiled by this project.,"compensate, reimburse","penalize, deprive",Latin in- + damnum (damage)
indentation,in-den-TAY-shun,n.,notch; deep recess,You can tell one tree from another by noting the differences in the indentations along the leaf edges.,"notch, dent",—,Latin in- + dens (tooth)
indenture,in-DEN-chur,v.,bind as servant or apprentice to master,Many immigrants could come to America only after they had indentured themselves for several years.,"bind, apprentice","free, release",Latin indentura
indeterminate,in-dih-TUR-mih-nit,adj.,uncertain; not clearly fixed; indefinite,"That interest rates shall rise seems certain; when they will do so, however, remains indeterminate.","uncertain, vague","definite, fixed",Latin in- + determinare
indicative,in-DIK-uh-tiv,adj.,"suggestive, implying",A lack of appetite may be indicative of a major disorder.,"suggestive, signaling",—,Latin indicare (to point out)
indices,IN-dih-seez,n. pl.,signs; indications,Many admissions officers believe SAT scores and grades are the best indices of a student's potential.,"indicators, signs",—,Latin index (sing.)
indict,in-DYT,v.,charge,The district attorney didn't want to indict the suspect until she had a strong enough case.,"charge, accuse","exonerate, clear",Latin indictare
indifferent,in-DIF-er-ent,adj.,unmoved or unconcerned by; mediocre,"Because Ann felt no desire to marry, she was indifferent to Carl's constant proposals.","apathetic, unconcerned","concerned, eager",Latin in- + differre
indigence,IN-dih-jens,n.,poverty,Neither economists nor political scientists have found a way to wipe out indigence from our society.,"poverty, destitution","wealth, affluence",Latin indigentia
indigenous,in-DIJ-uh-nus,adj.,native,"Cigarettes are made of tobacco, a plant indigenous to the New World.","native, aboriginal","foreign, alien",Latin indigena
indigent,IN-dih-jent,adj.,poor; destitute,Someone who is truly indigent can't even afford to buy a pack of cigarettes.,"needy, destitute","wealthy, prosperous",Latin indigere (to need)
indignation,in-dig-NAY-shun,n.,anger at an injustice,She felt indignation at the ill-treatment of the helpless animals.,"outrage, resentment","approval, satisfaction",Latin indignari (to be displeased at)
indignity,in-DIG-nih-tee,n.,offensive or insulting treatment,"Although he seemed to accept the indignities cheerfully, he was inwardly very angry.","insult, humiliation","honor, respect",Latin indignitas
indiscriminate,in-dih-SKRIM-ih-nit,adj.,choosing at random; confused,She disapproved of her son's indiscriminate television viewing and decided to restrict him.,"random, unselective","selective, discerning",Latin in- + discriminare
indisputable,in-dih-SPYOO-tuh-bul,adj.,too certain to be disputed,"In the face of these indisputable statements, I withdraw my complaint.","unquestionable, certain","disputable, debatable",Latin in- + disputare
indissoluble,in-dih-SOL-yuh-bul,adj.,permanent,The indissoluble bonds of marriage are all too often being dissolved.,"permanent, unbreakable","dissoluble, breakable",Latin in- + dissolvere
indite,in-DYT,v.,write; compose,Cyrano indited many letters for Christian.,"compose, write",—,Old French enditer
indolent,IN-duh-lent,adj.,lazy,Couch potatoes lead an indolent life lying back in their recliners watching TV.,"lazy, slothful","industrious, diligent",Latin in- + dolere (to feel pain)
indomitable,in-DOM-ih-tuh-bul,adj.,unconquerable; unyielding,"Focusing on her game despite all her personal problems, Steffi Graf displayed an indomitable will to win.","unconquerable, invincible","yielding, submissive",Latin in- + domitare (to tame)
indubitable,in-DOO-bih-tuh-bul,adj.,unable to be doubted; unquestionable,"Auditioning for the chorus line, Molly was an indubitable hit.","certain, unquestionable","doubtful, questionable",Latin in- + dubitare (to doubt)
induce,in-DOOS,v.,persuade; bring about,"After the quarrel, Tina said nothing could induce her to talk to Tony again.","persuade, prompt","dissuade, deter",Latin inducere (to lead in)
inductive,in-DUK-tiv,adj.,pertaining to induction; proceeding from the specific to the general,The discovery of Pluto is an excellent example of inductive reasoning.,—,deductive,Latin inducere
indulgent,in-DUL-jent,adj.,humoring; yielding; lenient,Jay's mom was excessively indulgent: she bought him every video game on the market.,"lenient, permissive","strict, severe",Latin indulgere (to be kind)
industrious,in-DUS-tree-us,adj.,diligent; hard-working,Look busy when the boss walks by your desk; it never hurts to appear industrious.,"diligent, hardworking","lazy, idle",Latin industrius
inebriated,in-EE-bree-ay-tid,adj.,habitually intoxicated; drunk,Abe was inebriated more often than he was sober.,"intoxicated, drunk","sober, abstinent",Latin inebriare (to make drunk)
ineffable,in-EF-uh-bul,adj.,unutterable; cannot be expressed in speech,Such ineffable joy must be experienced; it cannot be described.,"indescribable, inexpressible","ordinary, describable",Latin in- + effari (to utter)
ineffectual,in-ih-FEK-choo-ul,adj.,not effective; weak,"Because the candidate failed to get her message across, her campaign was ineffectual.","futile, weak","effective, potent",Latin in- + effectualis
ineluctable,in-ih-LUK-tuh-bul,adj.,irresistible; not to be escaped,He felt that his fate was ineluctable and refused to try to improve his lot.,"inevitable, unavoidable","avoidable, escapable",Latin in- + eluctari (to struggle out)
inept,in-EPT,adj.,lacking skill; unsuited; incompetent,The inept glovemaker was all thumbs.,"incompetent, clumsy","adept, skillful",Latin ineptus
inequity,in-EK-wih-tee,n.,unfairness,Women protest the basic inequity of a system that allots greater financial rewards to men.,"unfairness, injustice","equity, fairness",Latin in- + aequitas
inerrancy,in-ER-uhn-see,n.,infallibility,"Jane refused to believe in the pope's inerrancy, reasoning that all humans can err.","infallibility, faultlessness","fallibility, error-proneness",Latin in- + errare (to err)
inert,in-URT,adj.,inactive; lacking power to move,"""Get up, you lazybones,"" Tina cried to Tony, who lay in bed inert.","inactive, motionless","active, dynamic","Latin iners (unskilled, inactive)"
infallible,in-FAL-ih-bul,adj.,unerring,We must remember that none of us is infallible; we all make mistakes.,"unerring, perfect","fallible, error-prone",Latin in- + fallere (to deceive)
infamous,IN-fuh-mus,adj.,notoriously bad,Charles Manson and Jeffrey Dahmer are two examples of infamous killers.,"notorious, disreputable","reputable, honorable",Latin infamis
infantile,IN-fuhn-tyl,adj.,childish; infantlike,When will he outgrow such infantile behavior?,"childish, immature","mature, adult",Latin infantilis
infer,in-FUR,v.,deduce; conclude,"From the students' glazed looks, it was easy for me to infer that they were bored.","deduce, conclude",—,Latin inferre (to bring in)
infernal,in-FUR-nul,adj.,pertaining to hell; devilish,Batman could think of no way to hinder the Joker's infernal scheme to destroy the city.,"devilish, hellish","heavenly, divine","Latin infernus (lower, hell)"
