Word,Pronunciation,Part of Speech,Meaning,Usage in Sentence,Synonym,Antonym,Etymology
benefactor,BEN-ih-fak-ter,noun,gift giver; patron,Scrooge later became Tiny Tim's benefactor and gave him gifts.,"patron, donor, philanthropist","antagonist, opponent, detractor","Latin 'benefactor', from 'bene' (well) + 'facere' (to do)"
beneficent,bih-NEF-ih-sent,adjective,kindly; doing good,The overgenerous philanthropist had to curb his beneficent impulses before he gave away all his money.,"charitable, benevolent, generous","malevolent, harmful, stingy","Latin 'beneficentia', from 'bene' (well) + 'facere' (to do)"
beneficial,ben-ih-FISH-ul,adjective,helpful; useful,Tiny Tim's cheerful good nature had a beneficial influence on Scrooge.,"helpful, advantageous, salutary","harmful, detrimental, damaging","Latin 'beneficialis', from 'beneficium' (benefit)"
beneficiary,ben-ih-FISH-ee-air-ee,noun,person entitled to benefits or proceeds of an insurance policy or will,"In Scrooge's will, he made Tiny Tim his beneficiary.","heir, legatee, recipient","benefactor, donor, grantor","Latin 'beneficiarius', from 'beneficium' (favor, benefit)"
benevolent,bih-NEV-uh-lent,adjective,generous; charitable,Mr. Fezziwig was a benevolent employer who wished to make Christmas merrier.,"charitable, philanthropic, generous","miserly, malevolent, selfish","Latin 'benevolens', from 'bene' (well) + 'velle' (to wish)"
benign,bih-NYN,adjective,kindly; favorable; not malignant,"Though her benign smile and gentle bearing made Miss Marple seem sweet, she was tough-minded.","kindly, gentle, favorable","malignant, hostile, harmful","Latin 'benignus' (kind), from 'bene' (well) + 'genus' (born)"
benison,BEN-ih-sun,noun,blessing,Let us pray that the benison of peace once more shall prevail among the nations of the world.,"blessing, benediction, grace","curse, malediction, bane","Old French 'beneison', from Latin 'benedictio'"
bent,BENT,adjective/noun,determined; natural talent or inclination,"Bent on advancing in the business world, the secretary-heroine of Working Girl had a true bent for high finance.","inclination, aptitude, talent","aversion, inability, ineptitude","Old English 'bendan' (to bend, strain)"
bequeath,bih-KWEETH,verb,leave to someone by means of a will; hand down,"In his will, Father bequeathed his watch to Philip.","leave, will, hand down","inherit, receive, withhold","Old English 'becwethan' (to say, express)"
berate,bih-RAYT,verb,scold strongly,He feared she would berate him for his forgetfulness.,"scold, upbraid, castigate","praise, commend, compliment","Be- + 'rate' (to scold), origin uncertain"
bereavement,bih-REEV-ment,noun,state of being deprived of something valuable or beloved,His friends gathered to console him upon his sudden bereavement.,"loss, grief, deprivation","gain, acquisition, consolation","Old English 'bereafian' (to rob, plunder)"
bereft,bih-REFT,adjective,deprived of; lacking,The foolish gambler soon found himself bereft of funds.,"deprived, devoid, lacking","full, replete, abundant","Past participle of 'bereave', Old English 'bereafian'"
berserk,ber-ZERK,adverb,frenzied,"Angered, he went berserk and began to wreck the room.","frenzied, crazed, maniacal","calm, composed, rational",Old Norse 'berserkr' (wild Norse warrior)
beseech,bih-SEECH,verb,beg; plead with,The workaholic executive's wife beseeched him to spend more time with their son.,"implore, entreat, supplicate","demand, command, order",Old English 'besecan' (to seek from)
beset,bih-SET,verb,harass or trouble; hem in,Many vexing problems beset the American public school system.,"plague, harass, afflict","aid, assist, relieve","Old English 'besettan' (to set around, besiege)"
besiege,bih-SEEJ,verb,surround with armed forces; harass,"When the bandits besieged the village, the villagers holed up in the town hall.","besiege, surround, blockade","liberate, free, retreat","Old French 'asegier', from Latin 'obsidere' (to besiege)"
besmirch,bih-SMURCH,verb,"soil, defile",The scandalous remarks in the newspaper besmirched the reputations of every member of the society.,"tarnish, sully, defame","honor, praise, cleanse",Be- + 'smirch' (to make dirty)
bestial,BES-chul,adjective,beastlike; brutal; inhuman,The Red Cross sought to put an end to the bestial treatment of prisoners of war.,"brutal, savage, barbaric","humane, gentle, civilized","Latin 'bestialis', from 'bestia' (beast)"
bestow,bih-STOE,verb,confer,He wished to bestow great honors upon the hero.,"confer, grant, present","withhold, deprive, take",Old English 'bestow' (to place)
betoken,bih-TOE-ken,verb,signify; indicate,The well-equipped docks and numerous vessels betokened Oakland's importance as a port.,"signify, indicate, portend","hide, conceal, obscure","Old English 'tacnian' (to mark), from 'tacen' (token)"
betray,bih-TRAY,verb,be unfaithful; reveal unconsciously,The spy betrayed his country by selling military secrets to the enemy.,"deceive, forsake, reveal","protect, defend, conceal","Old French 'betrayer', from Latin 'tradere' (to hand over)"
betroth,bih-TROTH,verb,become engaged to marry,The announcement that they had become betrothed surprised their friends.,"engage, pledge, affiance","break off, jilt, separate","Old English 'treowth' (truth, pledge)"
bevy,BEV-ee,noun,large group,The movie actor was surrounded by a bevy of starlets.,"group, cluster, flock","individual, single, solitary","Middle English 'bevey', origin uncertain"
bicameral,by-KAM-er-ul,adjective,"two-chambered, as a legislative body",The United States Congress is a bicameral body.,"two-chambered, dual-house","unicameral, single-chamber",Latin 'bi' (two) + 'camera' (chamber)
bicker,BIK-er,verb,quarrel,"The children bickered morning, noon, and night, exasperating their parents.","quarrel, squabble, wrangle","agree, concur, harmonize","Middle English 'biker', origin uncertain"
biennial,by-EN-ee-ul,adjective,every two years,"Seeing no need to meet more frequently, the group held biennial meetings instead of annual ones.","every two years, semiannual","annual, yearly, perennial","Latin 'biennis', from 'bi' (two) + 'annus' (year)"
bifurcated,BY-fer-kay-ted,adjective,divided into two branches; forked,"With a bifurcated branch and a piece of elastic rubber, he made a crude but effective slingshot.","forked, divided, branched","unified, merged, single","Latin 'bifurcus', from 'bi' (two) + 'furca' (fork)"
bigotry,BIG-uh-tree,noun,stubborn intolerance,"Brought up in a democratic atmosphere, the student was shocked by the bigotry of several of his classmates.","intolerance, prejudice, narrow-mindedness","tolerance, open-mindedness, liberality","French 'bigoterie', origin uncertain"
bilious,BIL-yus,adjective,suffering from indigestion; irritable,His bilious temperament was apparent to all who heard him rant about his difficulties.,"irritable, peevish, ill-tempered","cheerful, good-natured, pleasant","Latin 'biliosus', from 'bilis' (bile)"
bilk,BILK,verb,swindle; cheat,The con man specialized in bilking insurance companies.,"swindle, defraud, cheat","compensate, reimburse, repay","Origin uncertain, possibly from cribbage term"
billowing,BIL-oh-ing,adjective,swelling out in waves; surging,"Standing over the air vent, Marilyn Monroe tried vainly to control her billowing skirts.","swelling, surging, undulating","flat, still, deflated","Old Norse 'bylgja' (wave, billow)"
bivouac,BIV-oo-ak,noun,temporary encampment,"While in bivouac, we spent the night in our sleeping bags under the stars.","encampment, camp, shelter","permanent base, headquarters","French 'bivouac', from German 'Beiwacht' (additional watch)"
bizarre,bih-ZAR,adjective,fantastic; violently contrasting,The plot of the novel was too bizarre to be believed.,"strange, outlandish, eccentric","normal, ordinary, conventional","French 'bizarre', possibly from Basque 'bizar' (beard)"
blanch,BLANCH,verb,bleach; whiten,"Although age had blanched his hair, he was still vigorous and energetic.","bleach, whiten, pale","darken, flush, color","Old French 'blanchir', from 'blanc' (white)"
bland,BLAND,adjective,soothing or mild; agreeable,Jill tried a bland ointment for her sunburn.,"mild, gentle, soothing","harsh, caustic, pungent","Latin 'blandus' (soft, smooth, flattering)"
blandishment,BLAN-dish-ment,noun,flattery,"Despite the salesperson's blandishments, the customer did not buy the outfit.","flattery, cajolery, coaxing","insult, criticism, condemnation",Latin 'blandiri' (to flatter)
blare,BLAIR,noun,"loud, harsh roar or screech; dazzling blaze of light",I don't know which is worse: the steady blare of a boom box or a sudden blare of flashbulbs.,"roar, blast, clamor","silence, hush, murmur","Middle Dutch 'blaren' (to bleat, cry)"
blasé,blah-ZAY,adjective,bored with pleasure or dissipation,"Although Beth was as thrilled with the idea of a trip to Paris as her classmates, she tried to act supercool and blasé.","bored, indifferent, jaded","enthusiastic, excited, eager","French 'blasé', past participle of 'blaser' (to cloy)"
blasphemy,BLAS-fuh-mee,noun,irreverence; sacrilege; cursing,"In my father's house, the Dodgers were the holiest of holies; to cheer for another team was to utter words of blasphemy.","sacrilege, profanity, impiety","reverence, piety, devotion","Greek 'blasphemia', from 'blaptein' (to injure) + 'pheme' (speech)"
blatant,BLAY-tent,adjective,extremely obvious; loudly offensive,"Caught in a blatant lie, the scoundrel had only one regret: he wished that he had lied more subtly.","obvious, flagrant, brazen","subtle, covert, concealed",Coined by Edmund Spenser; possibly from Latin 'blatire' (to babble)
bleak,BLEEK,adjective,cold or cheerless; unlikely to be favorable,"The frigid, inhospitable Aleutian Islands are bleak military outposts.","desolate, grim, dreary","cheerful, pleasant, hopeful","Old Norse 'bleikr' (pale, white)"
blighted,BLY-ted,adjective,suffering from a disease; destroyed,The extent of the blighted areas could be seen only when viewed from the air.,"ruined, afflicted, devastated","thriving, flourishing, healthy",Origin uncertain; possibly Old Norse 'blikna' (to become pale)
blithe,BLYTH,adjective,gay; joyous,Shelley called the skylark a 'blithe spirit' because of its happy song.,"joyous, carefree, cheerful","sad, morose, melancholy","Old English 'blithe' (joyous, pleasant)"
bloated,BLOE-ted,adjective,swollen or puffed as with water or air,Her bloated stomach came from drinking so much water.,"swollen, puffed, distended","deflated, flat, shrunken","Old Norse 'blautr' (soft, wet)"
blowhard,BLOE-hard,noun,talkative boaster,"After all Sol's talk about his big show business connections led nowhere, Sally decided he was just another blowhard.","braggart, boaster, windbag","modest person, underachiever, introvert",American English 'blow' (to boast) + 'hard'
bludgeon,BLUJ-un,noun,club; heavy-headed weapon,Holmes used his walking stick as a bludgeon to defend himself.,"club, cudgel, truncheon","tool, implement, delicate instrument",Origin uncertain; possibly Celtic
bluff,BLUF,adjective,rough but good-natured,Jack had a bluff and hearty manner that belied his actual sensitivity.,"frank, blunt, good-natured","gentle, refined, sensitive","Dutch 'blaf' (flat, broad)"
bluff,BLUF,noun,pretense of strength; deception; high cliff,Claire thought Lord Byron's boast was just a bluff; she was astounded when he dove from the high bluff.,"deception, pretense, cliff","truth, honesty, valley","Dutch 'bluffen' (to boast, bluff)"
blunder,BLUN-der,noun,error,The criminal's fatal blunder led to his capture.,"mistake, error, gaffe","achievement, success, triumph","Middle English, possibly Old Norse 'blundra' (to shut eyes)"
blurt,BLURT,verb,utter impulsively,"Before she could stop him, he blurted out the news.","exclaim, burst out, ejaculate","suppress, withhold, muffle","Imitative origin, 16th century English"
bluster,BLUS-ter,verb,blow in heavy gusts; threaten emptily; bully,"'Let the stormy winds bluster,' cried Jack, 'we'll set sail tonight.'","rant, swagger, huff","whisper, calm, be subdued",Low German 'blustern' (to blow violently)
bode,BODE,verb,foreshadow; portend,The gloomy skies and the sulfurous odors from the mineral springs seemed to bode evil to those who settled in the area.,"portend, forebode, augur","reassure, promise well, comfort","Old English 'bodian' (to announce, foretell)"
bogus,BOE-gus,adjective,counterfeit; not authentic,The police quickly found the distributors of the bogus twenty-dollar bills.,"counterfeit, fake, spurious","genuine, authentic, real","American English, origin uncertain; possibly from 'bogus' (machine for making counterfeit money)"
bohemian,boe-HEE-mee-un,adjective,unconventional in an artistic way,"Gertrude Stein ran off to Paris to live an eccentric, bohemian life with her writer friends.","unconventional, nonconformist, free-spirited","conventional, conformist, bourgeois","French 'Bohémien' (Gypsy), from Bohemia region"
boisterous,BOY-ster-us,adjective,violent; rough; noisy,The unruly crowd became even more boisterous when he tried to quiet them.,"rowdy, loud, raucous","calm, quiet, peaceful","Middle English 'boistous' (rude, coarse)"
bolster,BOLE-ster,verb,support; reinforce,The debaters amassed file boxes full of evidence to bolster their arguments.,"support, reinforce, prop up","undermine, weaken, diminish","Old English 'bolster' (cushion, bolster)"
bolt,BOLT,noun,door bar; fastening pin or screw; length of fabric,"The carpenter shut the workshop door, sliding the heavy metal bolt into place.","bar, pin, fastener","opening, release, latch removal","Old English 'bolt' (arrow, bolt)"
bolt,BOLT,verb,dash or dart off; fasten a door; gobble down,"Jack was the first to bolt out the front door, but Jill bolted the door.","dash, dart, flee","linger, stay, amble",Old English 'bolt' (to shoot like a bolt/arrow)
bombardment,bom-BARD-ment,noun,attack as with missiles,The enemy bombardment demolished the town.,"shelling, barrage, assault","defense, protection, retreat","French 'bombarder', from 'bombe' (bomb)"
bombastic,bom-BAS-tik,adjective,pompous; using inflated language,"Puffed up with conceit, the orator spoke in such a bombastic manner that we longed to deflate him.","pompous, grandiose, turgid","modest, understated, concise",From 'bombast' (cotton padding); Turkish 'pamuk' (cotton)
boon,BOON,noun,blessing; benefit,The recent rains that filled our empty reservoirs were a boon to the whole community.,"blessing, benefit, windfall","curse, bane, detriment","Old Norse 'bon' (prayer, request)"
boorish,BOOR-ish,adjective,rude; insensitive,"Though Mr. Potts constantly interrupted his wife, she ignored his boorish behavior.","rude, crude, loutish","refined, polite, cultured","Dutch 'boer' (farmer, peasant)"
bouillon,BOOL-yon,noun,clear beef soup,The cup of bouillon served by the stewards was welcomed by those who had been chilled by the cold ocean breezes.,"broth, consommé, stock","solid food, stew, thickened soup","French 'bouillon', from 'bouillir' (to boil)"
bountiful,BOWN-tih-ful,adjective,abundant; graciously generous,"Thanks to the good harvest, we had a bountiful supply of food.","generous, plentiful, lavish","scarce, meager, stingy","Middle English 'bountee', from Old French 'bonté' (goodness)"
bourgeois,boor-ZHWAH,adjective,middle class; selfishly materialistic; dully conventional,"Technically, anyone who belongs to the middle class is bourgeois, but most people resent it if you call them that.","conventional, materialistic, middle-class","bohemian, unconventional, proletarian","French 'bourgeois' (townsman), from 'bourg' (town)"
bovine,BOE-vyn,adjective,cowlike; placid and dull,"Nothing excites Esther; even when she won the state lottery, she preserved her air of bovine calm.","dull, stolid, placid","lively, spirited, excitable","Latin 'bovinus', from 'bos' (ox, cow)"
bowdlerize,BODE-ler-yz,verb,expurgate,"After the film editors had bowdlerized the language in the script, the motion picture's rating was changed from 'R' to 'PG.'","expurgate, sanitize, censor","restore, uncensor, leave intact","From Thomas Bowdler, who published expurgated Shakespeare in 1818"
boycott,BOY-kot,verb,refrain from buying or using,"To put pressure on grape growers to stop using pesticides, Cesar Chavez called for consumers to boycott grapes.","shun, blacklist, embargo","patronize, support, endorse","From Captain Charles Boycott, ostracized Irish land agent (1880)"
brackish,BRAK-ish,adjective,somewhat saline,He found the only wells in the area were brackish; drinking the water made him nauseous.,"salty, briny, saline","fresh, pure, clear",Dutch 'brak' (salty)
braggadocio,brag-ah-DOE-shee-oh,noun,boasting,He was disliked because his manner was always full of braggadocio.,"boasting, bravado, bluster","modesty, humility, understatement","From 'Braggadochio', a boastful character in Spenser's Faerie Queene"
braggart,BRAG-ert,noun,boaster,"Modest by nature, she was no braggart, preferring to let her accomplishments speak for themselves.","boaster, show-off, blowhard","modest person, wallflower",From 'brag' + '-art' (pejorative suffix); Old French 'braguer'
brandish,BRAN-dish,verb,wave around; flourish,"Alarmed, Doctor Watson wildly brandished his gun until Holmes told him to put the thing away.","wield, flourish, wave","sheathe, hide, conceal","Old French 'brandir', from 'brand' (sword)"
bravado,brah-VAH-doe,noun,swagger; assumed air of defiance,The bravado of the young criminal disappeared when he was confronted by the victims of his brutal attack.,"swagger, bluster, false courage","cowardice, timidity, humility","Spanish 'bravada', from 'bravo' (brave)"
brawn,BRAWN,noun,muscular strength; sturdiness,It takes brawn to become a champion weight-lifter.,"strength, muscle, might","weakness, frailty, feebleness",Old French 'braon' (fleshy part)
brazen,BRAY-zen,adjective,insolent,Her brazen contempt for authority angered the officials.,"impudent, shameless, bold","timid, ashamed, meek","Old English 'bræsen' (made of brass), from 'bræs' (brass)"
breach,BREECH,noun,breaking of contract or duty; fissure or gap,"Jill sued Jack for breach of promise, claiming he had broken their engagement.","violation, gap, rift","repair, fulfillment, observance","Old French 'breche', from Frankish 'breka' (breaking)"
breadth,BREDTH,noun,width; extent,We were impressed by the breadth of her knowledge.,"width, expanse, scope","narrowness, limitation, depth","Old English 'brædth', from 'brad' (broad)"
brevity,BREV-ih-tee,noun,conciseness,Brevity is essential when you send a telegram; you are charged for every word.,"conciseness, terseness, succinctness","verbosity, prolixity, wordiness","Latin 'brevitas', from 'brevis' (short)"
brindled,BRIN-dled,adjective,tawny or grayish with streaks or spots,He was disappointed in the litter because the puppies were brindled; he had hoped for animals of a uniform color.,"streaked, spotted, mottled","solid, uniform, plain","From 'brindled', related to 'brand' (burning stick); streaked like fire"
bristling,BRIS-ling,adjective,rising like bristles; showing irritation,"The dog stood there, bristling with anger.","prickly, spiky, irritated","smooth, calm, relaxed",Old English 'byrst' (bristle)
brittle,BRIT-ul,adjective,easily broken; difficult,My employer's brittle personality made it difficult for me to get along with her.,"fragile, breakable, snappish","flexible, resilient, tough","Middle English 'britel', from Old English 'breotan' (to break)"
broach,BROACH,verb,introduce; open up,Jack did not even try to broach the subject of religion with his in-laws.,"introduce, raise, bring up","suppress, avoid, table","Old French 'brochier' (to pierce), from 'broche' (pointed rod)"
brocade,broe-KADE,noun,"rich, figured fabric",The sofa was covered with expensive brocade.,"tapestry, damask, embroidered fabric","plain cloth, burlap, muslin","Spanish 'brocado', from Italian 'broccato' (embossed fabric)"
brochure,broe-SHOOR,noun,pamphlet,This brochure on farming was issued by the Department of Agriculture.,"pamphlet, leaflet, booklet","book, tome, volume","French 'brochure', from 'brocher' (to stitch)"
brooch,BROACH,noun,ornamental clasp,She treasured the brooch because it was an heirloom.,"clasp, pin, ornament","plain garment, unadorned clothing","Old French 'broche' (pointed tool, pin)"
brook,BROOK,verb,tolerate; endure,The dean would brook no interference with his disciplinary actions.,"tolerate, endure, stand","prohibit, forbid, reject","Old English 'brucan' (to use, enjoy)"
browbeat,BROW-beet,verb,bully; intimidate,Billy resisted Ted's attempts to browbeat him into handing over his lunch money.,"bully, intimidate, coerce","encourage, support, praise",From 'brow' + 'beat'; lowering of brows as sign of aggression
browse,BROWZ,verb,graze; skim or glance at casually,"'How now, brown cow, browsing in the green, green grass?' I remembered lines of verse I came across while browsing through the poetry section.","scan, skim, graze","study, scrutinize, examine","Old French 'brouster' (to graze), from 'broust' (young shoot)"
brunt,BRUNT,noun,main impact or shock,"Tom Sawyer claimed credit for painting the fence, but the brunt of the work fell on others.","main force, shock, burden","relief, periphery, fringe","Middle English 'brunt', origin uncertain"
brusque,BRUSK,adjective,blunt; abrupt,She was offended by his brusque reply.,"blunt, curt, abrupt","polite, courteous, tactful","French 'brusque', from Italian 'brusco' (sour, rough)"
buccaneer,buk-ah-NEER,noun,pirate,At Disneyland the Pirates of the Caribbean sing a song about their lives as bloody buccaneers.,"pirate, corsair, privateer","law-abider, merchant sailor","French 'boucanier' (one who dries meat), from Tupi 'boucan' (frame for drying meat)"
bucolic,byoo-KOL-ik,adjective,rustic; pastoral,"Filled with browsing cows and bleating sheep, the meadow was a charmingly bucolic sight.","rural, pastoral, rustic","urban, metropolitan, city-like","Latin 'bucolicus', from Greek 'boukolikos', from 'boukolos' (cowherd)"
buffet,buh-FAY (noun) / BUF-it (verb),noun,table with food set out for people to serve themselves,Please convey the soufflé on the tray to the buffet.,"sideboard, smorgasbord, spread",formal sit-down dinner,Old French 'buffet' (stool)
buffet,buh-FAY (noun) / BUF-it (verb),verb,slap; batter; knock about,Was Miss Muffett buffeted by the crowd on the way to the buffet tray?,"batter, pummel, strike","protect, shield, calm",Old French 'buffe' (blow to the cheek)
buffoonery,buh-FOON-er-ee,noun,clowning,"In the Ace Ventura movies, Jim Carrey's buffoonery was hilarious: like Bozo the Clown, he's a natural buffoon.","clowning, foolery, tomfoolery","seriousness, solemnity, dignity","French 'bouffon' (jester), from Italian 'buffone' (jester)"
bugaboo,BUG-ah-boo,noun,bugbear; object of baseless terror,"If we become frightened by such bugaboos, we are no wiser than birds that fear scarecrows.","bogey, bugbear, bête noire","comfort, reassurance, delight",Welsh 'bwgwl' (terror) + 'bo' (hobgoblin)
bullion,BOOL-yun,noun,gold and silver in the form of bars,Much bullion is stored in the vaults at Fort Knox.,"ingot, bar, precious metal","currency, coin, paper money","Old French 'bouillon' (melting place, mint)"
bulwark,BOOL-werk,noun,earthwork or other strong defense; person who defends,The navy is our principal bulwark against invasion.,"fortification, bastion, defense","vulnerability, weakness, opening","Middle Dutch 'bolwerk', from 'bol' (plank) + 'werk' (work)"
bungle,BUNG-ul,verb,mismanage; blunder,"Don't botch this assignment, Bumstead; if you bungle the job, you're fired!","botch, mismanage, fumble","execute, achieve, succeed",Swedish dialect 'bangla' (to work ineffectually)
buoyant,BOY-unt,adjective,able to float; cheerful and optimistic,"When the boat capsized, her buoyant life jacket kept Jody afloat; she was still in a buoyant mood.","cheerful, optimistic, resilient","gloomy, pessimistic, depressed","Spanish 'boyante', from 'boyar' (to float)"
bureaucracy,byoo-ROK-ruh-see,noun,overregulated administrative system marked by red tape,The Internal Revenue Service is the ultimate bureaucracy.,"red tape, administration, officialdom","efficiency, simplicity, flexibility",French 'bureau' (desk/office) + Greek 'kratia' (rule)
burgeon,BUR-jun,verb,grow forth; send out buds,"In the spring, the plants that burgeon are a promise of the beauty that is to come.","flourish, sprout, bloom","wither, shrink, decline","Old French 'burjoner', from 'burjon' (bud)"
burlesque,ber-LESK,verb,give an imitation that ridicules,"Rick Moranis burlesques Darth Vader of Star Wars, outrageously parodying Vader's stiff walk and hollow voice.","parody, satirize, mock","honor, praise, revere","Italian 'burlesco', from 'burla' (joke, mockery)"
burnish,BUR-nish,verb,make shiny by rubbing; polish,The maid burnished the brass fixtures until they reflected the lamplight.,"polish, buff, shine","tarnish, dull, scratch",Old French 'burnir' (to make brown/shiny)
buttress,BUT-res,verb,support; prop up,"Just as architects buttress the walls of cathedrals with flying buttresses, debaters buttress their arguments with facts.","support, reinforce, bolster","undermine, weaken, destabilize",Old French 'bouter' (to thrust against)
